id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
5030,SEA FOREST ENTERIC METHANE REDUCTION IN AUSTRALIA,Australia,methane,"Livestock, enteric fermentatio",1217128,"-41.429,146.556",,,,,,,,,outside_cm_coverage,outside_cm_coverage
433,Sudokwon Landfill Gas Electricity Generation Project (50MW),South Korea,methane,Waste handling and disposal,1210342,"37.550,126.550",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3021,Reducing Gas Leakages within North West and other sub-areas of the Titas Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,1090993,"23.790,90.401",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,1054305,"24.885,91.881",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3745,Enexor Impact USA,United States,methane,Energy demand; Energy industri,1016760,"36.237,86.320",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,839133,"22.368,91.826",,,,,,,,,outside_cm_coverage,outside_cm_coverage
967,Bantargebang Landfill Gas Management & Power Generation,Indonesia,methane,Energy industries (renewable/n,708300,"-6.331,106.994",,,,,,,,,outside_cm_coverage,outside_cm_coverage
5022,Reduction of Enteric Methane Emissions using Feed Additives on Dairy Farms in the Netherlands,Netherlands,methane,"Livestock, enteric fermentatio",631036,"52.133,5.291",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2292,Guizhou Panjiang Low Concentration Coal Mine Methane Power Generation Project Phase 3,China,methane,Fugitive emissions from fuels ,589187,"26.059,104.567",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2567,Soc Son Waste to Power Plant Project,Viet Nam,methane,Energy industries (renewable/n,544076,"21.341,105.835",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4573,Muyuan Tongliao AWMS GHG Mitigation Project in Inner Mongolia,China,methane,Energy industries (renewable/n,514084,"43.603,121.634",,,,,,,,,outside_cm_coverage,outside_cm_coverage
