ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Techno Functional Consultant L2,Computer Systems Analysts,92539,II,GA,3
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144144,IV,AZ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144310,IV,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,107640,III,IL,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,150405,III,CA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144310,IV,TX,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Project Manager L1,Information Technology Project Managers,90210,II,MN,4
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Technology Architect L1,Computer Systems Engineers/Architects,86400,II,TN,3
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Test Consultant 3,Software Quality Assurance Analysts and Testers,103017,III,WI,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Techno Functional Consultant L2,Computer Systems Analysts,92248,II,TX,6
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,110094,III,FL,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,86445,II,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 - Database Administrators,Database Administrators,95035,II,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Business Architecture Senior Manager,Computer and Information Systems Managers,228800,III,NY,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Applications Consultant 3,Software Developers,134971,III,TX,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Management Analyst,Management Analysts,78333,II,FL,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,92581,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,167024,IV,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,86445,II,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,SA JC60 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,82077,II,MA,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Project Lead L1,Information Technology Project Managers,90605,II,TX,6
