cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
83789TBJ7,essential-service water/wastewater revenue,,4.0,2034-10-01,100.685,0.035019999999999996,0.0704,False,,,,,,,UNZONED,,,42,4,UNSCREENED,False
83789TBK4,essential-service water/wastewater revenue,,4.0,2035-10-01,100.415,0.0325,0.0653,False,,,,,,,UNZONED,,,22,2,UNSCREENED,False
840704GP9,Whittier City,Los Angeles,4.0,2042-08-01,99.548,0.040220000000000006,0.0808,False,99.2,42.5,0.0,Relatively Moderate,2.1,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,24,5,FLAG,False
84247PMB4,"Southern California Public Power Authority (SCPPA) — Tieton Hydropower Project, Revenue Refunding Bonds, 2020 Series A (Green Bonds) — ELECTRIC REVENUE",,4.0,2040-07-01,99.801,0.03628,0.0729,,,,,,,,UNZONED,,N/A-REVENUE,20,1,CLEAR,False
84251KAX3,South Whittier Elementary,Los Angeles,4.0,2045-08-01,98.026,0.0415,0.0834,False,,,,,1.94,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,N/A-REVENUE,193,25,CLEAR,False
843257HE9,Southern Kern Unified,Kern,4.0,2039-11-01,99.62,0.04035999999999999,0.0811,False,99.2,75.4,0.411,Very High,1.25,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),20,4,FLAG,False
843257HX7,Southern Kern Unified,Kern,4.0,2045-11-01,96.052,0.043,0.0864,False,99.2,75.4,0.411,Very High,1.25,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),107,11,FLAG,False
845389HY4,S WSTRN CMNTY CLG-A,,4.0,2038-08-01,99.852,0.03606,0.0725,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,18,1,CLEAR,False
845389HZ1,S WSTRN CMNTY CLG-A,,4.0,2039-08-01,99.844,0.03975,0.0799,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,12,2,CLEAR,False
849419DY9,CA school/CC district GO,,4.0,2039-02-01,99.86,0.040170000000000004,0.0807,False,99.2,,,,,,UNZONED,88,UNRESOLVED,14,2,FLAG,False
861419ZJ1,Stockton Unified,San Joaquin,4.0,2045-08-01,98.109,0.04117,0.0828,False,99.2,30.2,0.0,Relatively Moderate,0.86,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),120,12,REVIEW,True
870441DF6,Sweetwater Union High,San Diego,4.0,2045-04-01,97.765,0.04172,0.0839,False,,46.1,0.186,Very High,1.24,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),29,1,REVIEW,False
870462SF6,CA school/CC district GO,,4.0,2042-08-01,99.997,0.041440000000000005,0.0833,False,,,,,,,UNZONED,,,141,22,UNSCREENED,False
870462TJ7,Sweetwater Union High,San Diego,4.0,2043-08-01,98.572,0.041159999999999995,0.0827,False,99.2,46.1,0.186,Very High,1.24,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),42,11,REVIEW,False
87970GNS2,Temecula Valley Unified,Riverside,4.0,2045-08-01,98.327,0.0409,0.0822,False,99.2,92.2,0.624,Very High,1.78,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),203,32,FLAG,False
8913814M4,Torrance Unified,Los Angeles,4.0,2041-08-01,99.462,0.04047,0.0813,False,99.2,19.9,0.0,Relatively Low,2.01,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),38,6,REVIEW,False
899124LL3,Tulare City,Tulare,4.0,2041-11-15,98.401,0.04141,0.0832,False,,,,,0.71,CENTRAL VALLEY / SIERRA (low),LOW,90,N/A-REVENUE,136,18,REVIEW,False
899124LN9,Tulare City,Tulare,4.0,2044-11-15,98.38,0.040519999999999994,0.0814,False,,,,,0.71,CENTRAL VALLEY / SIERRA (low),LOW,90,N/A-REVENUE,41,4,REVIEW,False
899124LY5,,,,,,,,,,,,,,,UNZONED,,,,,UNSCREENED,False
900211CN1,Turlock Unified,Stanislaus,3.0,2042-08-01,81.86,0.04584,0.0829,True,99.2,49.8,0.043,Relatively High,0.76,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),21,1,REVIEW,True
900211CP6,Turlock Unified,Stanislaus,3.0,2043-08-01,79.159,0.047850000000000004,0.0861,True,,,,,0.76,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),26,3,CLEAR,False
