cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
34440VCP1,Monrovia Unified,Los Angeles,4.0,2043-10-01,98.083,0.040810000000000006,0.082,False,99.2,50.2,0.18,Very High,2.08,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,122,6,FLAG,False
353856Q75,Franklin-McKinley Elementary,Santa Clara,4.0,2044-08-01,95.671,0.040830000000000005,0.0821,False,99.2,15.1,0.0,Very Low,1.55,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,67,14,FLAG,False
357155AJ9,Fremont Unified,Alameda,2.0,2034-08-01,87.252,0.03837,0.0615,True,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,120,21,FLAG,False
357155AM2,Fremont Unified,Alameda,2.0,2037-08-01,79.444,0.04337,0.0688,True,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,19,2,FLAG,False
357155DC1,Fremont Unified,Alameda,4.0,2043-08-01,99.526,0.04099,0.0824,False,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,43,1,FLAG,False
357155DY3,Fremont Unified,Alameda,4.0,2045-08-01,99.264,0.042249999999999996,0.0849,False,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,54,7,FLAG,False
357155DZ0,Fremont Unified,Alameda,4.0,2046-08-01,98.799,0.036789999999999996,0.0739,False,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,194,12,FLAG,False
357172E92,Fremont Union High,Santa Clara,3.0,2036-08-01,96.752,0.03381,0.0651,True,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),14,2,REVIEW,False
357172F26,Fremont Union High,Santa Clara,3.0,2037-08-01,95.809,0.032690000000000004,0.0643,True,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),31,1,REVIEW,False
357172F34,Fremont Union High,Santa Clara,3.0,2038-08-01,92.092,0.0382,0.0711,True,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),64,7,REVIEW,False
357172G41,Fremont Union High,Santa Clara,3.0,2035-08-01,97.583,0.03268,0.0637,True,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),63,5,REVIEW,False
357172YL3,Fremont Unified,Alameda,4.0,2046-08-01,99.965,0.04002,0.0804,False,99.2,34.3,0.0,Relatively Moderate,2.32,BAY (San Andreas N / Hayward),HIGH,90,UNRESOLVED-AMBIG,201,9,FLAG,False
357172ZT5,Fremont Union High,Santa Clara,4.0,2038-08-01,98.822,0.04075,0.0819,False,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),30,2,REVIEW,False
357172ZW8,Fremont Union High,Santa Clara,4.0,2046-08-01,97.958,0.040060000000000005,0.0805,False,99.2,27.2,0.043,Relatively High,1.87,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),97,2,REVIEW,False
3582324T0,Fresno Unified,Fresno,4.0,2043-08-01,98.45,0.04038,0.0812,False,99.2,16.7,0.0,Relatively Low,0.72,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),75,8,REVIEW,False
359796FL8,Fullerton Joint Union High,Orange,4.0,2041-08-01,100.457,0.03578,0.0719,False,99.2,20.8,0.025,Relatively High,1.85,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),80,4,REVIEW,False
359796KV0,Fullerton Joint Union High,Orange,4.0,2045-08-01,100.845,0.03863,0.0776,False,99.2,20.8,0.025,Relatively High,1.85,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),97,5,REVIEW,False
366658SD5,CA school/CC district GO,,4.0,2046-08-01,94.857,0.040220000000000006,0.0848,True,99.2,,,,,,UNZONED,88,UNRESOLVED,182,6,FLAG,False
366658VV1,CA school/CC district GO,,4.0,2044-08-01,99.944,0.0397,0.0798,False,99.2,,,,,,UNZONED,88,UNRESOLVED,14,4,FLAG,False
376087ER9,Gilroy Unified,Santa Clara,4.0,2041-08-01,99.735,0.040229999999999995,0.0809,False,99.2,75.9,0.187,Relatively High,1.73,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),69,5,REVIEW,False
376087ES7,Gilroy Unified,Santa Clara,4.0,2046-08-01,96.78,0.04069,0.0818,False,99.2,75.9,0.187,Relatively High,1.73,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),133,9,REVIEW,False
376087FS6,Gilroy Unified,Santa Clara,4.0,2044-08-01,97.71,0.04,0.0804,False,99.2,75.9,0.187,Relatively High,1.73,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),51,6,REVIEW,False
378460XP9,Glendale Unified,Los Angeles,4.0,2037-09-01,99.08,0.04102,0.0825,False,99.2,41.4,0.205,Very High,2.46,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),32,2,REVIEW,False
399262LZ5,Grossmont Union High,San Diego,3.0,2037-08-01,91.231,0.03963,0.0728,True,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),17,5,FLAG,False
399262MA9,Grossmont Union High,San Diego,3.0,2045-08-01,78.35,0.0463,0.085,True,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),343,24,FLAG,False
399262MD3,Grossmont Union High,San Diego,3.0,2039-08-01,87.446,0.0407,0.0753,True,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),131,19,FLAG,False
399262ME1,Grossmont Union High,San Diego,4.0,2042-08-01,96.783,0.04275,0.0859,False,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),15,3,FLAG,False
399262NX8,Grossmont Union High,San Diego,4.0,2042-08-01,99.58,0.0405,0.0814,False,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),101,5,FLAG,False
399262RN6,Grossmont Union High,San Diego,4.0,2043-08-01,100.419,0.03205,0.0644,False,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),79,4,FLAG,False
399262SN5,Grossmont Union High,San Diego,4.0,2044-08-01,99.596,0.04031,0.081,False,99.2,60.4,0.341,Very High,0.89,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),64,2,FLAG,False
399267JG9,GROSSMONT CCD-C,,4.0,2046-08-01,98.644,0.04099,0.0824,False,99.2,60.4,0.341,Very High,,,UNZONED,90,CC-ACCREDITED,72,6,FLAG,False
417123FR2,HARTNELL CCD-A,,3.0,2036-08-01,95.464,0.0353,0.067,True,99.2,,,,,,UNZONED,90,CC-ACCREDITED,12,1,CLEAR,False
417123FT8,HARTNELL CCD-A,,4.0,2042-08-01,100.439,0.04005,0.0805,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,90,7,CLEAR,False
417123GM2,HARTNELL CMNTY CLG DT,,3.0,2045-08-01,79.402,0.044800000000000006,0.083,True,99.2,,,,,,UNZONED,90,CC-ACCREDITED,19,2,CLEAR,False
4212903T2,Hayward Unified,Alameda,4.0,2040-08-01,99.99,0.04,0.0804,False,99.2,44.0,0.063,Very High,2.24,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,133,23,FLAG,False
4212904N4,Hayward Unified,Alameda,4.0,2039-08-01,99.8,0.040190000000000003,0.0808,False,99.2,44.0,0.063,Very High,2.24,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,163,10,FLAG,False
4212904P9,Hayward Unified,Alameda,4.0,2042-08-01,97.089,0.0425,0.0854,False,99.2,44.0,0.063,Very High,2.24,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,62,7,FLAG,False
4212905R4,Hayward Unified,Alameda,4.0,2043-08-01,99.73,0.04005,0.0805,False,99.2,44.0,0.063,Very High,2.24,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,467,19,FLAG,False
4212906Y8,Hayward Unified,Alameda,4.0,2045-08-01,98.07,0.04009,0.0806,False,99.2,44.0,0.063,Very High,2.24,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,173,10,FLAG,False
423542PE3,Hemet Unified,Riverside,4.0,2042-08-01,99.705,0.040519999999999994,0.0814,False,99.2,85.8,0.506,Very High,2.2,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),27,1,FLAG,False
435650EB8,Hollister,San Benito,4.0,2044-09-01,96.995,0.040830000000000005,0.0821,False,99.2,81.3,0.486,Very High,2.65,OTHER CA,MID,90,POSITIVE(absent),72,8,FLAG,False
435650EZ5,Hollister,San Benito,4.0,2042-09-01,98.67,0.041120000000000004,0.0827,False,99.2,81.3,0.486,Very High,2.65,OTHER CA,MID,90,POSITIVE(absent),26,2,FLAG,False
435650FA9,Hollister,San Benito,4.0,2046-09-01,96.733,0.043789999999999996,0.088,False,99.2,81.3,0.486,Very High,2.65,OTHER CA,MID,90,POSITIVE(absent),39,9,FLAG,False
435650FQ4,Hollister,San Benito,4.0,2042-09-01,96.27,0.040549999999999996,0.0815,False,99.2,81.3,0.486,Very High,2.65,OTHER CA,MID,90,POSITIVE(absent),57,1,FLAG,False
435650FR2,Hollister,San Benito,4.0,2046-09-01,96.701,0.040940000000000004,0.0823,False,99.2,81.3,0.486,Very High,2.65,OTHER CA,MID,90,POSITIVE(absent),69,11,FLAG,False
439413FZ3,Hope Elementary,Santa Barbara,4.0,2045-08-01,99.11,0.04062,0.0816,False,99.2,82.1,0.183,Very High,2.5,OTHER CA,MID,90,POSITIVE(absent),16,2,REVIEW,False
444258HB6,Hueneme Elementary,Ventura,3.0,2044-08-01,81.912,0.044500000000000005,0.0815,True,99.2,19.4,0.0,Relatively Low,1.81,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),29,6,REVIEW,False
444258HK6,Hueneme Elementary,Ventura,4.0,2040-08-01,100.119,0.03934,0.0791,False,99.2,19.4,0.0,Relatively Low,1.81,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),25,2,REVIEW,False
444258JA6,Hueneme Elementary,Ventura,4.0,2042-08-01,98.253,0.04011,0.0806,False,99.2,19.4,0.0,Relatively Low,1.81,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),16,1,REVIEW,False
452641HM8,IMPERIAL CLG DIST-REF,,4.0,2040-08-01,99.781,0.040350000000000004,0.0811,False,99.2,85.0,0.0,Relatively Moderate,,,UNZONED,90,CC-ACCREDITED,100,7,REVIEW,False
452650KM5,Imperial Unified,Imperial,4.0,2041-11-01,99.474,0.04016,0.0807,False,99.2,85.0,0.0,Relatively Moderate,2.47,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),40,1,REVIEW,False
457110MC5,Inglewood Unified,Los Angeles,4.0,2039-08-01,99.557,0.04043,0.0813,False,99.2,12.2,0.0,Relatively Low,2.16,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),78,12,REVIEW,False
463610KJ3,Irvine Unified,Orange,4.0,2044-09-01,99.848,0.04,0.0804,False,99.2,48.2,0.179,Very High,1.43,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),31,1,REVIEW,False
472412SC0,Jefferson Elementary,San Benito,3.0,2034-09-01,98.292,0.03235,0.065,False,99.2,60.9,0.076,Very High,2.07,OTHER CA,MID,90,POSITIVE(absent),18,4,REVIEW,False
472412SD8,Jefferson Elementary,San Benito,3.0,2035-09-01,97.336,0.03336,0.0645,True,99.2,60.9,0.076,Very High,2.07,OTHER CA,MID,90,POSITIVE(absent),29,1,REVIEW,False
482124RJ5,Jurupa Unified,Riverside,4.0,2041-08-01,99.995,0.04063,0.0817,False,99.2,89.0,0.383,Relatively High,1.63,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),262,18,FLAG,False
482124SG0,Jurupa Unified,Riverside,4.0,2040-08-01,99.907,0.0359,0.0722,False,99.2,89.0,0.383,Relatively High,1.63,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),29,4,FLAG,False
482124SH8,Jurupa Unified,Riverside,4.0,2043-08-01,98.971,0.04063,0.0817,False,99.2,89.0,0.383,Relatively High,1.63,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),128,2,FLAG,False
492244FZ6,KERN CA CMNTY CLG-BAM,,3.0,2046-08-01,79.206,0.04589000000000001,0.0841,True,99.2,,,,,,UNZONED,90,CC-UNKNOWN,25,9,REVIEW,False
49228YAV0,essential-service water/wastewater revenue,,4.0,2036-05-01,99.84,0.040069999999999995,0.0805,False,,,,,,,UNZONED,,N/A-REVENUE,50,8,FLAG,False
49228YAX6,essential-service water/wastewater revenue,,4.0,2038-05-01,99.691,0.04016,0.0807,False,,,,,,,UNZONED,,N/A-REVENUE,31,8,FLAG,False
50964EBK3,Lake Elsinore Unified,Riverside,4.0,2044-08-01,98.434,0.040220000000000006,0.0808,False,99.2,95.5,0.81,Very High,1.96,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),46,4,FLAG,False
511005AX8,LAKE TAHOE CCD-SER A,,4.0,2045-08-01,97.0,0.040369999999999996,0.0811,False,99.2,87.1,0.17,Very High,,,UNZONED,90,CC-ACCREDITED,131,19,REVIEW,False
511005AY6,LAKE TAHOE CCD-SER A,,4.0,2040-08-01,99.03,0.04042,0.0812,False,99.2,87.1,0.17,Very High,,,UNZONED,90,CC-ACCREDITED,15,2,REVIEW,False
512138FX1,Lakeside Union,Kern,4.0,2045-08-01,96.783,0.04247,0.0854,False,99.2,66.4,0.278,Relatively High,1.27,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),29,3,REVIEW,False
517624PT3,Las Lomitas Elementary,San Mateo,3.0,2035-07-01,97.927,0.03265,0.0656,False,99.2,76.4,0.261,Relatively High,2.36,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),27,4,REVIEW,False
519547EE9,Lawndale Elementary,Los Angeles,4.0,2046-08-01,96.631,0.0425,0.0854,False,99.2,5.5,0.0,Very Low,2.04,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),47,7,REVIEW,True
519547JX2,Lawndale Elementary,Los Angeles,4.0,2045-08-01,99.863,0.04,0.0804,False,99.2,5.5,0.0,Very Low,2.04,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),17,1,REVIEW,False
519547JY0,Lawndale Elementary,Los Angeles,4.0,2046-08-01,99.1,0.04074,0.0819,False,99.2,5.5,0.0,Very Low,2.04,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),17,5,REVIEW,False
530319RF1,Liberty Union High,Contra Costa,4.0,2042-08-01,100.214,0.04005,0.0805,False,99.2,63.7,0.146,Relatively High,1.55,BAY (San Andreas N / Hayward),HIGH,90,UNRESOLVED-AMBIG,176,14,FLAG,False
535545GE1,Lindsay Unified,Tulare,4.0,2045-08-01,95.579,0.04079,0.082,False,99.2,86.2,0.259,Very High,0.64,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),51,2,REVIEW,False
538310H30,Livermore Valley Joint Unified,Alameda,4.0,2041-08-01,99.69,0.04027,0.0809,False,99.2,74.8,0.428,Very High,2.04,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,23,4,FLAG,False
538310L43,Livermore Valley Joint Unified,Alameda,4.0,2046-08-01,95.461,0.041100000000000005,0.0826,False,99.2,74.8,0.428,Very High,2.04,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,173,10,FLAG,False
53833PAW6,,,,,,,,,,,,,,,UNZONED,,,,,UNSCREENED,False
542411NC3,LONG BEACH CMNTY CLG,,4.0,2045-08-01,98.322,0.04127,0.083,False,99.2,8.5,0.0,Relatively Moderate,,,UNZONED,90,CC-UNKNOWN,94,3,REVIEW,False
544647DN7,Los Angeles Unified,Los Angeles,4.0,2044-07-01,99.986,0.03256,0.0654,False,99.2,17.9,0.056,Very High,2.26,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),196,14,REVIEW,False
547541LJ9,Lowell Joint,Orange,3.0,2044-08-01,78.12,0.04819,0.087,True,99.2,43.9,0.151,Relatively High,1.99,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),22,3,REVIEW,True
551800FJ9,Lynwood Unified,Los Angeles,4.0,2041-08-01,99.64,0.04096,0.0823,False,99.2,0.0,0.0,No Rating,1.95,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),82,15,REVIEW,False
551800HW8,Lynwood Unified,Los Angeles,4.0,2045-08-01,95.846,0.04156,0.0835,False,99.2,0.0,0.0,No Rating,1.95,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),102,6,REVIEW,False
562785PH2,Manhattan Beach Unified,Los Angeles,4.0,2045-09-01,99.396,0.04045,0.0813,False,99.2,19.8,0.0,Very Low,2.12,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),263,31,REVIEW,False
564538DW3,Manteca Unified,San Joaquin,4.0,2045-08-01,99.317,0.041609999999999994,0.0836,False,99.2,61.2,0.0,Relatively Moderate,0.86,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),237,22,REVIEW,False
564538GA8,Manteca Unified,San Joaquin,4.0,2045-08-01,98.148,0.04141,0.0832,False,99.2,61.2,0.0,Relatively Moderate,0.86,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),41,5,REVIEW,True
580415LW5,McFarland Unified,Kern,4.0,2045-11-01,97.681,0.04119,0.0828,False,99.2,92.5,0.298,Very High,0.88,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),28,2,REVIEW,False
58321CAE3,Meadows Union,Imperial,4.0,2038-08-01,100.0,0.039900000000000005,0.0802,False,99.2,83.4,0.0,Relatively Moderate,2.63,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),29,1,REVIEW,False
58661PDN9,MENDOCINO-LAKE CCD-A,Mendocino,3.0,2041-08-01,84.902,0.043710000000000006,0.0794,True,99.2,97.4,0.914,Relatively High,1.96,OTHER CA,MID,90,CC-ACCREDITED,34,3,FLAG,False
586807HW2,Denair Unified,Stanislaus,4.0,2043-08-01,99.411,0.040220000000000006,0.0808,False,99.2,49.9,0.229,Relatively High,0.72,CENTRAL VALLEY / SIERRA (low),LOW,90,UNRESOLVED-AMBIG,128,8,FLAG,False
587616CP6,"Merced Irrigation District — Electric System Refunding Revenue Bonds, Series 2015A — ELECTRIC REVENUE",,4.0,2035-10-01,99.9,0.04059,0.0816,,,,,,,,UNZONED,,N/A-REVENUE,72,7,CLEAR,False
587619BF3,"Merced Irrigation District — Water and Hydroelectric System Refunding Revenue Bonds, Series 2014A — WATER REVENUE",,4.0,2038-10-01,100.018,0.0401,0.0806,,,,,,,,UNZONED,,N/A-REVENUE,79,7,CLEAR,False
59266TMA6,essential-service water/wastewater revenue,,4.0,2045-07-01,98.387,0.040010000000000004,0.0804,False,,,,,,,UNZONED,88,N/A-REVENUE,64,11,REVIEW,False
601670LZ3,Milpitas Unified,Santa Clara,3.0,2042-08-01,83.954,0.043769999999999996,0.0799,True,99.2,35.3,0.013,Relatively High,2.55,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),36,9,REVIEW,False
604617AY6,MIRACOSTA CMNTY CLG,,3.0,2037-08-01,90.898,0.040069999999999995,0.0734,True,99.2,,,,,,UNZONED,90,CC-ACCREDITED,19,3,CLEAR,False
604617CA6,MIRACOSTA CMNTY CLG,,4.0,2045-08-01,100.372,0.03656,0.0735,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,48,5,CLEAR,False
607735CA3,Modesto City Elementary,Stanislaus,3.0,2043-08-01,81.404,0.045739999999999996,0.083,True,99.2,28.5,0.0,Relatively Low,0.83,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),29,4,CLEAR,True
607735CS4,Modesto City Elementary,Stanislaus,3.0,2036-08-01,93.067,0.03831,0.0709,True,99.2,28.5,0.0,Relatively Low,0.83,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),18,1,CLEAR,False
607767AV2,"Modesto Irrigation District Financing Authority — Electric System (Refunding) Revenue Bonds, Series 2015A/B — ELECTRIC REVENUE",,4.0,2035-10-01,100.0,0.0393,0.079,,,,,,,,UNZONED,,N/A-REVENUE,73,7,CLEAR,False
612289TD0,Montebello Unified,Los Angeles,4.0,2046-08-01,98.174,0.041299999999999996,0.083,False,99.2,9.3,0.0,Relatively Low,2.14,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),116,5,REVIEW,False
612574EN9,MONTEREY PENINSULA CC,Monterey,3.0,2034-08-01,97.14,0.03357,0.0648,True,99.2,66.5,0.205,Relatively High,1.49,OTHER CA,MID,90,CC-ACCREDITED,43,1,REVIEW,False
612574FP3,MONTEREY CMNTY CLG-B,,4.0,2042-08-01,102.815,0.0355,0.0714,False,99.2,86.2,0.245,Relatively High,,,UNZONED,90,CC-UNKNOWN,60,2,REVIEW,False
612574FR9,MONTEREY CMNTY CLG-B,,4.0,2044-08-01,100.528,0.03595,0.0723,False,99.2,86.2,0.245,Relatively High,,,UNZONED,90,CC-UNKNOWN,31,1,REVIEW,False
612574FS7,MONTEREY CMNTY CLG-B,,4.0,2045-08-01,98.863,0.04086,0.0821,False,99.2,86.2,0.245,Relatively High,,,UNZONED,90,CC-UNKNOWN,24,4,REVIEW,False
612582BL9,Monterey Peninsula Unified,Monterey,4.0,2045-08-01,98.569,0.040940000000000004,0.0823,False,99.2,66.5,0.205,Relatively High,1.49,OTHER CA,MID,90,UNRESOLVED-AMBIG,65,13,FLAG,False
612582FK7,Monterey Peninsula Unified,Monterey,4.0,2043-08-01,99.088,0.03818,0.0767,False,99.2,66.5,0.205,Relatively High,1.49,OTHER CA,MID,90,POSITIVE(absent),81,4,REVIEW,False
616421CK7,CA school/CC district GO,,4.0,2039-08-01,99.595,0.04031,0.081,False,99.2,,,,,,UNZONED,88,UNRESOLVED,13,1,FLAG,False
616871MJ5,Moreno Valley Unified,Riverside,4.0,2045-08-01,98.846,0.0404,0.0812,False,99.2,80.0,0.613,Very High,2.1,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),105,14,FLAG,False
622344JJ9,Mount Pleasant Elementary,Santa Clara,4.0,2043-08-01,100.516,0.03916,0.0787,False,99.2,62.3,0.189,Relatively High,2.23,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),25,1,REVIEW,False
623040PX4,MT SAN ANTONIO CCD-D,,4.0,2044-08-01,101.241,0.03643,0.0732,False,99.2,,,,,,UNZONED,90,CC-ACCREDITED,186,12,CLEAR,False
623053BW4,MT SAN JACINTO CLG-B,,4.0,2043-08-01,100.106,0.0408,0.082,False,99.2,95.1,0.735,Very High,,,UNZONED,90,CC-ACCREDITED,94,6,FLAG,False
623053CM5,MT SAN JACINTO CCD-C,,3.0,2035-08-01,94.433,0.03453,0.0666,True,99.2,95.1,0.735,Very High,,,UNZONED,90,CC-ACCREDITED,49,3,FLAG,False
623053CN3,MT SAN JACINTO CCD-C,,3.0,2036-08-01,95.813,0.03368,0.0653,True,99.2,95.1,0.735,Very High,,,UNZONED,90,CC-ACCREDITED,20,1,FLAG,False
623053CP8,MT SAN JACINTO CCD-C,,3.0,2037-08-01,92.721,0.03101,0.065,True,99.2,95.1,0.735,Very High,,,UNZONED,90,CC-ACCREDITED,14,1,FLAG,False
624454LT9,Mountain View-Los Altos Union High,Santa Clara,4.0,2034-08-01,99.643,0.040510000000000004,0.0814,False,99.2,37.3,0.03,Relatively High,2.09,BAY (San Andreas N / Hayward),HIGH,90,UNRESOLVED-AMBIG,39,5,FLAG,False
630362CN9,Napa Valley Unified,Napa,4.0,2036-08-01,99.994,0.03568,0.0717,False,99.2,65.6,0.242,Relatively High,2.23,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),79,4,REVIEW,False
63877NLV7,Natomas Unified,Sacramento,3.0,2045-08-01,77.405,0.04658,0.0857,True,99.2,37.1,0.0,Relatively Low,0.65,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),42,1,REVIEW,True
645002G67,New Haven Unified,Alameda,4.0,2044-08-01,99.009,0.03959,0.0796,False,99.2,39.9,0.084,Very High,2.34,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),46,1,REVIEW,False
671890AV3,Oakdale Joint Unified,Stanislaus,3.0,2038-08-01,89.557,0.04066,0.0745,True,,88.1,0.366,Relatively High,0.62,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),37,3,CLEAR,False
672325H91,Oakland Unified,Alameda,4.0,2037-08-01,99.5,0.040220000000000006,0.0808,False,99.2,23.0,0.027,Relatively High,1.77,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,31,4,FLAG,False
672325J24,Oakland Unified,Alameda,3.0,2040-08-01,88.31,0.04183,0.0761,True,99.2,23.0,0.027,Relatively High,1.77,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,55,12,FLAG,False
672325M38,Oakland Unified,Alameda,4.0,2046-08-01,98.258,0.041280000000000004,0.083,False,99.2,23.0,0.027,Relatively High,1.77,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,314,16,FLAG,False
672325ZD2,Oakland Unified,Alameda,4.0,2034-08-01,99.96,0.03849,0.0774,False,99.2,23.0,0.027,Relatively High,1.77,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,48,3,FLAG,False
672325ZG5,Oakland Unified,Alameda,3.0,2041-08-01,83.751,0.04488,0.0811,True,99.2,23.0,0.027,Relatively High,1.77,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,177,41,FLAG,False
673646GF6,Oakley Union Elementary,Contra Costa,3.0,2036-08-01,96.415,0.0319,0.0633,True,99.2,52.6,0.089,Relatively High,1.54,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),30,3,REVIEW,False
673646HM0,Oakley Union Elementary,Contra Costa,4.0,2041-08-01,98.53,0.04029,0.081,False,99.2,52.6,0.089,Relatively High,1.54,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),21,1,REVIEW,False
675383PT4,Oceanside Unified,San Diego,3.0,2034-08-01,95.55,0.036309999999999995,0.068,True,99.2,59.6,0.311,Very High,1.15,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),60,6,FLAG,False
